Statut,Lignes avec marqueurs + termes médicaux (texte original CLEAR EX),Lignes avec marqueurs + termes médicaux avec balises <t> (CLEAR EX),Terme médical,Marqueur,Indicateur,Reformulation
non,"Des recherches électroniques dans le registre spécialisé du groupe Cochrane sur les troubles menstruels et de la fertilité, CENTRAL, MEDLINE, EMBASE, PsycINFO et CINAHL ont été effectuées en avril 2010 pour identifier les essais contrôlés randomisés (ECR) pertinents.","Des recherches électroniques dans le registre <t>spécialisé<t> du groupe Cochrane sur les troubles menstruels et de la <t>fertilité<t>, CENTRAL, MEDLINE, EMBASE, PsycINFO et CINAHL ont été effectuées en avril 2010 pour identifier les essais contrôlés randomisés (ECR) pertinents.",,,trouble/s,
non,Il a été affirmé que les individus atteints du syndrome du X fragile pourraient présenter de faibles niveaux d'acide folique dans l'organisme et qu'une supplémentation alimentaire pourrait remédier aux effets indésirables de la maladie sur le développement et le comportement.,Il a été affirmé que les individus atteints du <t>syndrome<t> du X fragile pourraient présenter de faibles niveaux d'<t>acide<t> folique dans l'organisme et qu'une supplémentation alimentaire pourrait remédier aux effets indésirables de la <t>maladie<t> sur le développement et le <t>comportement<t>.,,,maladie/s,
oui,"Dans les pays où la maladie est très prévalente, la plupart des patients sont identifiés lors de visites dans des établissements de soins (dépistage passif).","Dans les pays où la <t>maladie<t> est très prévalente, la plupart des patients sont identifiés lors de visites dans des <t>établissements de soins<t> (dépistage passif).",dépistage passif,(),maladie/s,la plupart des patients sont identifiés lors de visites dans des établissements de soins
non,Les personnes en contact avec des patients tuberculeux courent un risque élevé de développer cette maladie.,Les personnes en contact avec des patients <t>tuberculeux<t> courent un risque <t>élevé<t> de développer cette <t>maladie<t>.,,,maladie/s,
non,"Evaluer l'effet des interventions pharmacologiques sur les troubles anxieux chez les personnes atteintes de BPCO, en termes d'amélioration des symptômes de l'anxiété, de qualité de vie, de tolérance à l'exercice, de réduction de la durée des séjours à l'hôpital et de VEMS.","Evaluer l'<t>effet<t> des interventions pharmacologiques sur les <t>troubles <t>anxieux<t><t> chez les personnes atteintes de BPCO, en termes d'amélioration des symptômes de l'<t>anxiété<t>, de qualité de vie, de <t>tolérance<t> à l'exercice, de réduction de la durée des séjours à l'<t>hôpital<t> et de VEMS.",,,trouble/s,
oui,"Nous avons pris en compte, pour la revue, tous les essais cliniques randomisés (ECR), les essais randomisés en cluster et les essais en cross-over portant sur les interventions pharmacologiques sur des patients (âge > 40 ans) atteints de BPCO et de troubles anxieux associés (confirmés par les critères diagnostiques reconnus ou une échelle de mesure validée).","Nous avons pris en compte, pour la revue, tous les essais cliniques randomisés (ECR), les essais randomisés en cluster et les essais en cross-over portant sur les interventions pharmacologiques sur des patients (âge > 40 ans) atteints de BPCO et de <t>troubles <t>anxieux<t><t> associés (confirmés par les critères diagnostiques reconnus ou une <t>échelle<t> de mesure validée).",les essais cliniques randomisés,(),,ECR
non,"De fait, il est nécessaire de réaliser des essais rigoureux sur le plan scientifique pour évaluer le rôle des interventions pharmacologiques dans les troubles anxieux chez les patients atteints de BPCO, incluant des effectifs suffisamment important pour en démontrer la pertinence clinique.","De fait, il est nécessaire de réaliser des essais rigoureux sur le <t>plan<t> scientifique pour évaluer le rôle des interventions pharmacologiques dans les <t>troubles <t>anxieux<t><t> chez les patients atteints de BPCO, <t>incluant<t> des effectifs suffisamment important pour en démontrer la pertinence <t>clinique<t>.",,,trouble/s,
non,"Le critère de jugement principal était l'amélioration globale ou clinique, telle que définie par les études incluses.","Le critère de <t>jugement<t> <t>principal<t> était l'amélioration globale ou <t>clinique<t>, telle que définie par les études incluses.",,,définie ; telle que,
non,"La réussite du traitement, définie comme une diminution de 50  pour cent  du score de l'obstruction de la défécation à un an, était rapportée chez 33  pour cent  (3 / 39) des patients de la rétroaction biologique EMG par rapport à 82  pour cent  (44 / 54) des patients de la RRTA (RR 0,41, IC à 95  pour cent  0,26 à 0,65).","La réussite du traitement, définie comme une diminution de 50  pour cent  du score de l'<t>obstruction<t> de la <t>défécation<t> à un an, était rapportée chez 33  pour cent  (3 / 39) des patients de la <t>rétroaction <t>biologique<t><t> EMG par rapport à 82  pour cent  (44 / 54) des patients de la RRTA (RR 0,41, IC à 95  pour cent  0,26 à 0,65).",,,définie comme ,
oui,"Les résultats de toutes ces études doivent être interprétés avec prudence car les analyses GRADE évaluaient la qualité globale des preuves pour les critères de jugement principaux (c'est-à-dire l'amélioration clinique ou globale, telle que définie par les études) comme faible ou très faible en raison d'un risque élevé de biais (c'est-à-dire des études ouvertes, des biais d'auto-sélection, des données de résultats incomplètes et un déséquilibre de base) et de l'imprécision (données rares).","Les résultats de toutes ces études doivent être interprétés avec prudence car les analyses GRADE évaluaient la qualité globale des preuves pour les critères de <t>jugement<t> principaux (c'est-à-dire l'amélioration <t>clinique<t> ou globale, telle que définie par les études) comme <t>faible<t> ou très <t>faible<t> en raison d'un risque <t>élevé<t> de biais (c'est-à-dire des études ouvertes, des biais d'auto-sélection, des données de résultats incomplètes et un déséquilibre de <t>base<t>) et de l'imprécision (données rares).",un risque élevé de biais,c'est-à-dire ; (),définie ; telle que,"des études ouvertes, des biais d'auto-sélection, des données de résultats incomplètes et un déséquilibre de base"
oui,La dyspepsie fonctionnelle (DF) est une affection mondialement répandue.,La <t>dyspepsie<t> fonctionnelle (DF) <mdef>est une<mdef> <t>affection<t> mondialement répandue.,La dyspepsie fonctionnelle (DF),est un/e,affection/s,une affection mondialement répandue
oui,"L'acupuncture, comme méthode thérapeutique traditionnelle, a été largement utilisée en Asie pour les troubles gastro-intestinaux fonctionnels.","L'<t>acupuncture<t>, comme méthode thérapeutique traditionnelle, a été largement utilisée en Asie pour les troubles <t>gastro-<t>intestinaux fonctionnels.",L'acupuncture,comme,trouble/s,méthode thérapeutique traditionnelle
non,"L'acupuncture manuelle et l'électroacupuncture ont été reconnues comme traitements de la DF, mais à ce jour, aucune preuve solide n'a été trouvée en faveur de l'efficacité et de la sécurité de ces interventions dans le traitement de cette affection.","L'<t>acupuncture<t> manuelle et l'électro<t>acupuncture<t> ont été reconnues comme traitements de la DF, mais à ce jour, aucune preuve <t>solide<t> n'a été trouvée en faveur de l'<t>efficacité<t> et de la sécurité de ces interventions dans le traitement de cette <t>affection<t>.",,,affection/s,
oui,Le diabète est une maladie chronique caractérisée par la résistance à l'insuline ou par sa carence et qui a pour conséquence un taux élevé d'hémoglobine A1c glycosylée (HbA1c).,Le diabète <mdef>est une<mdef> <t>maladie<t> <t>chronique<t> caractérisée par la résistance à l'<t>insuline<t> ou par sa <t>carence<t> et qui a pour conséquence un taux <t>élevé<t> d'<t>hémoglobine<t> A1c glycosylée (HbA1c).,Le diabète,est un/e,maladie/s,une maladie chronique caractérisée par la résistance à l'insuline ou par sa carence et qui a pour conséquence un taux élevé d'hémoglobine A1c glycosylée (HbA1c)
non,Les régimes diététiques et l'adoption des conseils diététiques sont associés à des taux plus bas d'HbA1c et au contrôle de la maladie.,Les <t>régimes<t> diététiques et l'<t>adoption<t> des conseils diététiques sont associés à des taux plus <t>bas<t> d'HbA1c et au contrôle de la <t>maladie<t>.,,,maladie/s,
oui,Le diabète est une maladie chronique caractérisée par la résistance à l'insuline ou par sa carence et qui a pour conséquence un taux élevé d'hémoglobine A1c glycosylée (HbA1c).,Le diabète <mdef>est une<mdef> <t>maladie<t> <t>chronique<t> caractérisée par la résistance à l'<t>insuline<t> ou par sa <t>carence<t> et qui a pour conséquence un taux <t>élevé<t> d'<t>hémoglobine<t> A1c glycosylée (HbA1c).,Le diabète,est un/e,maladie/s,ne maladie chronique caractérisée par la résistance à l'insuline ou par sa carence et qui a pour conséquence un taux élevé d'hémoglobine A1c glycosylée (HbA1c)
oui,"Nous avons consulté le registre spécialisé du groupe Cochrane sur les maladies infectieuses; le registre Cochrane des essais contrôlés (CENTRAL); MEDLINE; EMBASE; LILACS; et le méta-registre des essais contrôlés (mRCT) (jusqu' au 28 mars 2013 en utilisant les termes de recherche ""vivax"" et ""arte* ou dihydroarte*"".","Nous avons consulté le registre <t>spécialisé<t> du groupe Cochrane sur les maladies infectieuses; le registre Cochrane des essais contrôlés (CENTRAL); MEDLINE; EMBASE; LILACS; et le méta-registre des essais contrôlés (mRCT) (jusqu' au 28 mars 2013 en utilisant les termes de recherche ""vivax"" et ""arte* ou dihydroarte*"".",le méta-registre des essais contrôlés ,(),maladie/s,mRCT
non,"Surveillance clinique versus immunologique et clinique : Sur la base de deux essais randomisés, la surveillance clinique seule entraînait une augmentation de la mortalité (preuves de faible qualité), une augmentation des maladies indicatrices du sida et de la mortalité en tant que critère de jugement composite (qualité moyenne), aucune différence en termes d'événements indésirables graves (faible qualité), une augmentation du nombre de changements superflus (faible qualité) et aucune différence concernant le passage à un traitement de deuxième intention (faible qualité) par rapport à une surveillance immunologique et clinique.","Surveillance <t>clinique<t> versus <t>immunologique<t> et <t>clinique<t> : Sur la <t>base<t> de deux essais randomisés, la surveillance <t>clinique<t> seule entraînait une augmentation de la mortalité (preuves de <t>faible<t> qualité), une augmentation des maladies indicatrices du sida et de la mortalité en tant que critère de <t>jugement<t> <t>composite<t> (qualité moyenne), aucune différence en termes d'événements indésirables graves (<t>faible<t> qualité), une augmentation du <t>nombre<t> de changements superflus (<t>faible<t> qualité) et aucune différence concernant le passage à un traitement de deuxième intention (<t>faible<t> qualité) par rapport à une surveillance <t>immunologique<t> et <t>clinique<t>.",,,maladie/s,
non,"Surveillance clinique versus virologique, immunologique et clinique : Sur la base d'un seul essai randomisé, la surveillance clinique seule entraînait une tendance à la hausse de la mortalité (faible qualité), une augmentation des maladies indicatrices du sida et de la mortalité en tant que critère de jugement composite (faible qualité), une augmentation des changements superflus (faible qualité), aucune différence en termes d'échecs virologiques du traitement (faible qualité) et une tendance à la hausse du passage à un traitement de deuxième intention (faible qualité) par rapport à une surveillance virologique, immunologique et clinique.","Surveillance <t>clinique<t> versus <t>virologique<t>, <t>immunologique<t> et <t>clinique<t> : Sur la <t>base<t> d'un <t>seul<t> essai randomisé, la surveillance <t>clinique<t> <t>seul<t>e entraînait une tendance à la hausse de la mortalité (<t>faible<t> qualité), une augmentation des maladies indicatrices du sida et de la mortalité en tant que critère de <t>jugement<t> <t>composite<t> (<t>faible<t> qualité), une augmentation des changements superflus (<t>faible<t> qualité), aucune différence en termes d'échecs <t>virologique<t>s du traitement (<t>faible<t> qualité) et une tendance à la hausse du passage à un traitement de deuxième intention (<t>faible<t> qualité) par rapport à une surveillance <t>virologique<t>, <t>immunologique<t> et <t>clinique<t>.",,,maladie/s,
non,"Surveillance immunologique et clinique versus virologique, immunologique et clinique : Sur la base d'un seul essai randomisé, la surveillance immunologique et clinique n'entraînait aucune différence en termes de mortalité (faible qualité), de maladies indicatrices du sida et de mortalité en tant que critère de jugement composite (faible qualité), de changements superflus (très faible qualité), d'échecs virologiques du traitement (faible qualité) et de passage à un traitement de deuxième intention (faible qualité) par rapport à une surveillance virologique, immunologique et clinique.","Surveillance <t>immunologique<t> et <t>clinique<t> versus <t>virologique<t>, <t>immunologique<t> et <t>clinique<t> : Sur la <t>base<t> d'un <t>seul<t> essai randomisé, la surveillance <t>immunologique<t> et <t>clinique<t> n'entraînait aucune différence en termes de mortalité (<t>faible<t> qualité), de maladies indicatrices du sida et de mortalité en tant que critère de <t>jugement<t> <t>composite<t> (<t>faible<t> qualité), de changements superflus (très <t>faible<t> qualité), d'échecs <t>virologique<t>s du traitement (<t>faible<t> qualité) et de passage à un traitement de deuxième intention (<t>faible<t> qualité) par rapport à une surveillance <t>virologique<t>, <t>immunologique<t> et <t>clinique<t>.",,,maladie/s,
non,": mortalité, maladie indicatrice du sida et mortalité en tant que critère de jugement composite, et changements superflus) en faveur de la surveillance immunologique et clinique ou de la surveillance virologique, immunologique et clinique par rapport à la surveillance clinique seule.",": mortalité, <t>maladie<t> indicatrice du sida et mortalité en tant que critère de <t>jugement<t> <t>composite<t>, et changements superflus) en faveur de la surveillance <t>immunologique<t> et <t>clinique<t> ou de la surveillance <t>virologique<t>, <t>immunologique<t> et <t>clinique<t> par rapport à la surveillance <t>clinique<t> seule.",,,maladie/s,
non,Monothérapie de méthotrexate versus polythérapie de méthotrexate avec des médicaments antirhumatismaux modificateurs de la maladie non-biologiques pour la polyarthrite rhumatoïde.,Monothérapie de <t>méthotrexate<t> versus polythérapie de <t>méthotrexate<t> avec des médicaments antirhumatismaux <t>modificateurs<t> de la <t>maladie<t> non-biologiques pour la <t>polyarthrite<t> rhumatoïde.,,,maladie/s,
oui,Le méthotrexate (MTX) fait partie des médicaments antirhumatismaux modificateurs de la maladie (DMARD) les plus efficaces en polyarthrite rhumatoïde (PR) avec la toxicité la plus faible et la meilleure tolérabilité.,Le <t>méthotrexate<t> (MTX) fait partie des médicaments antirhumatismaux <t>modificateurs<t> de la <t>maladie<t> (DMARD) les plus efficaces en <t>polyarthrite<t> rhumatoïde (PR) avec la <t>toxicité<t> la plus <t>faible<t> et la meilleure tolérabilité.,Le méthotrexate ,(),maladie/s,MTX
non,"Nous avons effectué une recherche dans le registre spécialisé du groupe Cochrane sur les affections neuro-musculaires (13 septembre 2011) au moyen des termes : crampe, spasme, contracture, "" charley horse "" et membre inférieur, extrémité inférieure, pied, mollet, jambe, cuisse, gastrocnémien, tendon, quadriceps.","Nous avons effectué une recherche dans le registre <t>spécialisé<t> du groupe Cochrane sur les <t>affections neuro-musculaires<t> (13 septembre 2011) au moyen des termes : <t>crampe<t>, <t>spasme<t>, <t>contracture<t>, "" charley horse "" et membre <t>inférieur<t>, extrémité <t>inférieur<t>e, pied, <t>mollet<t>, jambe, cuisse, gastrocnémien, <t>tendon<t>, quadriceps.",,,affection/s,
non,"Nous avons exclu, par exemple, la chirurgie, l'acupuncture et l'aiguilletage sec en tant qu'interventions invasives.","Nous avons exclu, par exemple, la <t>chirurgie<t>, l'<t>acupuncture<t> et l'aiguilletage <t>sec<t> en tant qu'interventions invasives.",,,par exemple,
non,"Pour cette mise à jour, le spécialiste des informations vasculaires Cochrane a effectué des recherches dans le registre spécialisé du groupe Cochrane sur les maladies vasculaires (juin 2016).","Pour cette mise à jour, le spécialiste des informations vasculaires Cochrane a effectué des recherches dans le registre <t>spécialisé<t> du groupe Cochrane sur les <t>maladies vasculaires<t> (juin 2016).",,,maladie/s,
non,"Nous avons consulté le registre spécialisé du groupe Cochrane sur les affections neuromusculaires (20 mai 2010), le registre Cochrane des essais contrôlés (CENTRAL, Bibliothèque Cochrane, 2010, numéro 2), MEDLINE (1966 à mai 2010), EMBASE (1980 à mai 2010), CINAHL (1982 à mai 2010), AMED (1985 à mai 2010), PEDro (1982 à mai 2010) et LILACS (1982 à mai 2010).","Nous avons consulté le registre <t>spécialisé<t> du groupe Cochrane sur les affections neuromusculaires (20 mai 2010), le registre Cochrane des essais contrôlés (CENTRAL, Bibliothèque Cochrane, 2010, numéro 2), MEDLINE (1966 à mai 2010), EMBASE (1980 à mai 2010), CINAHL (1982 à mai 2010), AMED (1985 à mai 2010), PEDro (1982 à mai 2010) et LILACS (1982 à mai 2010).",,,affection/s,
non,La colonoscopie fait l'objet des principales recherches pour les maladies du gros intestin.,La <t>colonoscopie<t> fait l'objet des principales recherches pour les maladies du <t>gros<t> intestin.,,,maladie/s,
oui,Les syndromes du décalage horaire et du travail posté sont des troubles du rythme circadien qui entraînent une somnolence pouvant accroître le risque de blessures.,Les syndromes du décalage horaire et du <t>travail<t> posté sont des troubles du <t>rythme circadien<t> qui entraînent une <t>somnolence<t> pouvant accroître le risque de blessures.,Les syndromes du décalage horaire et du travail,sont,trouble/s,des troubles du rythme circadien qui entraînent une somnolence pouvant accroître le risque de blessures
oui,"Depuis que l'autisme a été décrit pour la première fois, les grandes difficultés dans les interactions sociales sont un trait caractéristique des personnes atteintes de troubles du spectre autistique (TSA).","Depuis que l'<t>autisme<t> a été décrit pour la première fois, les grandes difficultés dans les interactions sociales sont un trait caractéristique des personnes atteintes de troubles du spectre autistique (TSA).",troubles du spectre autistique,(),trouble/s,TSA
non,Stéroïdes intratympaniques pour le traitement de la maladie ou syndrome de Ménière.,Stéroïdes intratympaniques pour le traitement de la <t>maladie<t> ou <t>syndrome<t> de Ménière.,,,maladie/s,
oui,"La maladie de Ménière est un trouble qui se caractérise par une perte auditive, des acouphènes et des vertiges incapacitants.L'utilisation de stéroïdes intratympaniques pour réduire la gravité de ces symptômes est de plus en plus généralisée.","La <t>maladie<t> de Ménière <mdef>est un<mdef> <t>trouble<t> qui se caractérise par une <t>perte auditive<t>, des acouphènes et des vertiges incapacitants.L'utilisation de stéroïdes intratympaniques pour réduire la <t>gravité<t> de ces symptômes est de plus en plus généralisée.",La maladie de Ménière,est un/e,maladie/s ; trouble/s,"un trouble qui se caractérise par une perte auditive, des acouphènes et des vertiges incapacitants"
oui,"Évaluer l'efficacité de stéroïdes intratympaniques sur la fréquence et la gravité des épisodes de vertige, sur des symptômes chroniques tels que les acouphènes, le déséquilibre et la perte auditive et sur la progression de ces symptômes chez des patients atteints de la maladie ou du syndrome de Ménière avéré, selon la définition du comité de l'AAO-HNS.","Évaluer l'<t>efficacité<t> de stéroïdes intratympaniques sur la fréquence et la <t>gravité<t> des épisodes de <t>vertige<t>, sur des symptômes chroniques tels que les acouphènes, le déséquilibre et la <t>perte auditive<t> et sur la progression de ces symptômes chez des patients atteints de la <t>maladie<t> ou du <t>syndrome<t> de Ménière avéré, selon la définition du comité de l'AAO-HNS.",des symptômes chroniques,,maladie/s ; définition ; tels que,"les acouphènes, le déséquilibre et la perte auditive"
non,Essais contrôlés randomisés sur la dexaméthasone intratympanique versus un placebo chez des patients atteints de la maladie de Ménière.,Essais contrôlés randomisés sur la dexaméthasone intratympanique versus un placebo chez des patients atteints de la <t>maladie<t> de Ménière.,,,maladie/s,
non,"Un seul essai rassemblant 22 patients et présentant un risque de biais faible a été inclus.Cet essai mettait en évidence qu'après 24 mois, par rapport au placebo, l'utilisation de dexaméthasone intratympanique entraînait une amélioration statistiquement significative des vertiges, définie comme une augmentation respective du niveau fonctionnel (90  pour cent  versus 42  pour cent ), de la classe fonctionnelle (82  pour cent  versus 57  pour cent ), des scores au test DHI (Dizziness Handicap Inventory) (60,4 versus 41,3) et de l'amélioration subjective moyenne des vertiges (90 pour cent  versus 57  pour cent ).Le traitement décrit par les auteurs impliquait des injections quotidiennes d'une solution de 4 mg/ml de dexaméthasone, pendant cinq jours consécutifs.","Un <t>seul<t> essai rassemblant 22 patients et présentant un risque de biais <t>faible<t> a été <t>inclus<t>.Cet essai mettait en évidence qu'après 24 mois, par rapport au placebo, l'utilisation de dexaméthasone intratympanique entraînait une amélioration statistiquement significative des vertiges, définie comme une augmentation respective du niveau <t>fonctionnel<t> (90  pour cent  versus 42  pour cent ), de la classe <t>fonctionnel<t>le (82  pour cent  versus 57  pour cent ), des scores au test DHI (Dizziness Handicap Inventory) (60,4 versus 41,3) et de l'amélioration subjective moyenne des vertiges (90 pour cent  versus 57  pour cent ).Le traitement décrit par les auteurs impliquait des <t>injections<t> quotidiennes d'une <t>solution<t> de 4 mg/ml de dexaméthasone, pendant cinq jours consécutifs.",,,définie comme ,
non,Les résultats d'un seul essai fournissent des preuves limitées à l'appui de l'efficacité des stéroïdes intratympaniques chez les patients atteints de la maladie de Ménière.,Les résultats d'un <t>seul<t> essai fournissent des preuves limitées à l'appui de l'<t>efficacité<t> des stéroïdes intratympaniques chez les patients atteints de la <t>maladie<t> de Ménière.,,,maladie/s,
non,"Cinq essais avaient utilisé notre première définition de la réponse lente, et les trois autres essais (dont un qui avait utilisé les deux définitions) la seconde définition.","Cinq essais avaient utilisé notre première définition de la réponse <t>lente<t>, et les trois autres essais (dont un qui avait utilisé les deux définitions) la seconde définition.",,,définition,
non,"Nous avons effectué des recherches dans MEDLINE (via PubMed) (de 1966 à mai 2012), le registre spécialisé du groupe Cochrane sur les maladies infectieuses (10 mai 2012), CENTRAL (publiée dans la Bibliothèque Cochrane 2012, numéro 5), EMBASE (de 1974 à 10 mai 2012), LILACS (de 1982 au 10 mai 2012) et BIOSIS (1926 à 10 mai 2012).","Nous avons effectué des recherches dans MEDLINE (via PubMed) (de 1966 à mai 2012), le registre <t>spécialisé<t> du groupe Cochrane sur les maladies infectieuses (10 mai 2012), CENTRAL (publiée dans la Bibliothèque Cochrane 2012, numéro 5), EMBASE (de 1974 à 10 mai 2012), LILACS (de 1982 au 10 mai 2012) et BIOSIS (1926 à 10 mai 2012).",,,maladie/s,
non,"L'efficacité du vaccin est plus faible dans les pays à forte mortalité mais, comme le fardeau de la maladie est plus lourd dans ces pays, le bénéfice absolu de la vaccination y est aussi plus grand.","L'<t>efficacité<t> du <t>vaccin<t> est plus <t>faible<t> dans les pays à forte mortalité mais, comme le fardeau de la <t>maladie<t> est plus lourd dans ces pays, le bénéfice <t>absolu<t> de la <t>vaccin<t>ation y est aussi plus grand.",,,maladie/s,
non,"Nous avons consulté les registres d'essais des groupes thématiques de revue Cochrane sur les accidents vasculaires cérébraux, la cardiologie et les maladies vasculaires périphériques (dernière recherche, juillet 2008), le registre Cochrane des essais contrôlés (CENTRAL) (The Cochrane Library numéro 3, 2008), MEDLINE (de 1966 à août 2008) et EMBASE (de 1980 à août 2008).","Nous avons consulté les registres d'essais des groupes thématiques de revue Cochrane sur les accidents vasculaires cérébraux, la cardiologie et les <t>maladies vasculaires<t> périphériques (dernière recherche, juillet 2008), le registre Cochrane des essais contrôlés (CENTRAL) (The Cochrane Library numéro 3, 2008), MEDLINE (de 1966 à août 2008) et EMBASE (de 1980 à août 2008).",,,maladie/s,
oui,La cardiomyopathie hypertrophique (CMH) est une maladie génétique de transmission autosomique dominante couramment traitée par inotropes négatifs.,La <t>cardiomyopathie<t> <t>hypertrophique<t> (CMH) <mdef>est une<mdef> <t>maladie<t> <t>génétique<t> de transmission autosomique dominante couramment traitée par inotropes négatifs.,La cardiomyopathie hypertrophique (CMH),est un/e,maladie/s,une maladie génétique de transmission autosomique dominante couramment traitée par inotropes négatifs
non,Deux auteurs ont extrait de manière indépendante dans un formulaire d'extraction de données pré-défini les données provenant des études incluses.,Deux auteurs ont extrait de manière indépendante dans un formulaire d'<t>extraction<t> de données pré-défini les données provenant des études incluses.,,,défini/e,
non,Nous avons exclu les études portant sur des enfants à l'hôpital et des enfants présentant une maladie ou une infection.,Nous avons exclu les études portant sur des enfants à l'<t>hôpital<t> et des enfants présentant une <t>maladie<t> ou une <t>infection<t>.,,,maladie/s,
non,"Les méta-analyses ont été menées pour les résultats incluant toutes causes et cause spécifique de mortalité, de maladie, de vue et d'effets secondaires.","Les méta-analyses ont été menées pour les résultats <t>incluant<t> toutes causes et cause <t>spécifique<t> de mortalité, de <t>maladie<t>, de vue et d'effets secondaires.",,,maladie/s,
non,"Aucun effet significatif de la SVA n'a été observé sur la mortalité par cause spécifique de la rougeole, des maladies respiratoires et de la méningite.","Aucun <t>effet<t> significatif de la SVA n'a été observé sur la mortalité par cause <t>spécifique<t> de la <t>rougeole<t>, des maladies respiratoires et de la <t>méningite<t>.",,,maladie/s,
non,"La SVA a réduit l'incidence de la diarrhée (RR = 0,85 (IC à 95  pour cent  0,82 à 0,87)) et la morbidité de la rougeole (RR = 0,50 (IC à 95  pour cent  0,37 à 0,67)) ; toutefois, aucun effet significatif n'a été observé sur l'incidence des maladies respiratoires ou des hospitalisations dues à une diarrhée ou une pneumonie.","La SVA a <t>réduit<t> l'incidence de la <t>diarrhée<t> (RR = 0,85 (IC à 95  pour cent  0,82 à 0,87)) et la morbidité de la <t>rougeole<t> (RR = 0,50 (IC à 95  pour cent  0,37 à 0,67)) ; toutefois, aucun <t>effet<t> significatif n'a été observé sur l'incidence des maladies respiratoires ou des <t>hospitalisations<t> dues à une <t>diarrhée<t> ou une <t>pneumonie<t>.",,,maladie/s,
non,"Comme l'incidence et la prévalence du cancer de la prostate continuent d'augmenter, le nombre d'hommes nécessitant une aide et un soutien pour faire face à la maladie et aux symptômes liés au traitement et à leurs effets psychosociaux est susceptible d'augmenter.","Comme l'incidence et la prévalence du <t>cancer<t> de la <t>prostate<t> continuent d'augmenter, le <t>nombre<t> d'hommes nécessitant une aide et un soutien pour faire face à la <t>maladie<t> et aux symptômes liés au traitement et à leurs effets psychosociaux est <t>susceptible<t> d'augmenter.",,,maladie/s,
oui,Aucune donnée concernant la phase de la maladie ou le traitement par l'hormonothérapie anti-androgénique (ADT) étaient extractibles pour l'analyse en sous-groupes.,Aucune donnée concernant la <t>phase<t> de la <t>maladie<t> ou le traitement par l'hormonothérapie anti-androgénique (ADT) étaient extractibles pour l'analyse en sous-groupes.,hormonothérapie anti-androgénique,(),maladie/s,ADT
non,Nous n'avons pas été en mesure d'effectuer des analyses en sous-groupes basées sur le stade de la maladie ou la modalité de traitement.,Nous n'avons pas été en mesure d'effectuer des analyses en sous-groupes basées sur le stade de la <t>maladie<t> ou la modalité de traitement.,,,maladie/s,
non,"La population des études, la conception des études, le type d'antibiotique et la définition de l'infection différaient considérablement.","La population des études, la <t>conception<t> des études, le type d'<t>antibiotique<t> et la définition de l'<t>infection<t> différaient considérablement.",,,définition,
non,"Pour la version initiale de cette revue nous avons effectué une recherche dans le registre des essais cliniques du groupe Cochrane sur les maladies gastro-duodénales et du pancréas, le registre Cochrane des essais contrôlés (CENTRAL) (The Cochrane Library 2010, numéro 3), MEDLINE, EMBASE et le Science Citation Index Expanded jusqu'à avril 2010.","Pour la <t>version<t> initiale de cette revue nous avons effectué une recherche dans le registre des essais cliniques du groupe Cochrane sur les maladies <t>gastro-<t>duodénales et du <t>pancréas<t>, le registre Cochrane des essais contrôlés (CENTRAL) (The Cochrane Library 2010, numéro 3), MEDLINE, EMBASE et le Science Citation Index Expanded jusqu'à avril 2010.",,,maladie/s,
oui,"Le traitement actuel de la maladie de Parkinson (MP) se concentre sur le fait de soulager les symptômes, actuellement il n'existe aucun traitement largement reconnu comme permettant de stopper ou ralentir la progression de la maladie.","Le traitement actuel de la <t>maladie<t> de Parkinson (MP) se concentre sur le fait de soulager les symptômes, actuellement il n'existe aucun traitement largement reconnu comme permettant de stopper ou ralentir la progression de la <t>maladie<t>.",la maladie de Parkinson,(),maladie/s,MP
non,Les agents neuroprotecteurs potentiels ou modificateurs de la maladie ont été identifiés à partir d'études précliniques.,Les agents neuroprotecteurs potentiels ou <t>modificateurs<t> de la <t>maladie<t> ont été identifiés à partir d'études précliniques.,,,maladie/s,
non,"2) Les anti-hypertenseurs sont-ils des agents modificateurs de la MP, ralentissent-ils la progression de la maladie une fois la MP diagnostiquée ? (prévention secondaire).","2) Les anti-hypertenseurs sont-ils des agents <t>modificateurs<t> de la MP, ralentissent-ils la progression de la <t>maladie<t> une fois la MP diagnostiquée ? (prévention <t>secondaire<t>).",,,maladie/s,
oui,"L'essai en cours évalue les effets de l'isradipine, un inhibiteur des canaux calciques, sur les symptômes moteurs et la progression de la maladie.","L'essai en cours évalue les effets de l'isradipine, un inhibiteur des canaux calciques, sur les symptômes moteurs et la progression de la <t>maladie<t>.",l'isradipine,",",maladie/s non<h>,un inhibiteur des canaux calciques
oui,"La maladie de Crohn est un état inflammatoire intestinal, comprenant une réponse immunitaire hyperactive de la flore intestinale.","La <t>maladie<t> de Crohn <mdef>est un<mdef> état <t>inflammatoire<t> <t>intestinal<t>, comprenant une <t>réponse immunitaire<t> hyperactive de la flore <t>intestinal<t>e.",La maladie de Crohn,est un/e,maladie/s,"un état inflammatoire intestinal, comprenant une réponse immunitaire hyperactive de la flore intestinale"
